personid,fk_test,answers_id,gender,age,residence,education,SIknowledge,result_id,quizSI1,quizSI2,quizSI3,quizSI4,quizSI5,quizSI6,answers_id,have_met,SIvsSystemy,feelings,EasyToFind,EasyToFindExample1,EasyToFindExample2,EasyToFindExample3,EasyToFindExample4,EasyToFindExample5,EasyToFindExample6,are_useful,fear,endangered,linkMonitoring1,linkMonitoring2,linkMonitoring3,linkMonitoring4,linkMonitoring5,linkMonitoring6,is_good,is_affecting,would_you_accept,is_helping,emotional_disorders
11,11,11,male,18-25,500k+,studia,TRUE,11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,TRUE,TRUE,Pozyt,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,IDK,0zmian
12,12,12,male,18-25,500k+,studia,TRUE,12,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,12,TRUE,TRUE,Negat,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,IDK,RaczPozyt
13,13,13,male,18-25,500k+,studia,TRUE,13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,13,TRUE,FALSE,Neutr,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,IDK,RaczNegat
14,14,14,female,18-25,500k+,studia,TRUE,14,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,14,TRUE,FALSE,Negat,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,IDK,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,IDK,0zmian
15,15,15,male,18-25,500k+,studia,TRUE,15,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,15,TRUE,TRUE,Neutr,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,RaczPozyt
16,16,16,male,18-25,wies,studia,TRUE,16,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,16,TRUE,TRUE,Neutr,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,RaczPozyt
17,17,17,female,18-25,50-100k,studia,TRUE,17,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,17,TRUE,TRUE,Neutr,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,IDK,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,RaczPozyt
18,18,18,male,18-25,500k+,studia,TRUE,18,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,18,FALSE,TRUE,Pozyt,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,IDK,0zmian
19,19,19,male,18-25,50-100k,studia,TRUE,19,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,19,TRUE,TRUE,Negat,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,IDK,RaczNegat
20,20,20,female,18-25,500k+,studia,TRUE,20,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,20,FALSE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,0zmian
21,21,21,male,18-25,100-500k,sred,TRUE,21,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,21,TRUE,TRUE,Pozyt,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0zmian
22,22,22,female,18-25,100-500k,studia,TRUE,22,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,22,FALSE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,RaczPozyt
23,23,23,male,18-25,500k+,studia,TRUE,23,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,23,TRUE,TRUE,Negat,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,ZdecydNegat
24,24,24,male,18-25,100-500k,studia,TRUE,24,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,24,TRUE,TRUE,Neutr,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,RaczPozyt
25,25,25,male,18-25,0-50k,studia,TRUE,25,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,25,FALSE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,IDK,RaczNegat
26,26,26,female,18-25,500k+,studia,TRUE,26,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,26,FALSE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,IDK,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0zmian
27,27,27,female,18-25,0-50k,studia,TRUE,27,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,27,TRUE,FALSE,Negat,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,RaczNegat
28,28,28,female,18-25,500k+,sred,TRUE,28,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,28,TRUE,TRUE,Pozyt,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,RaczPozyt
29,29,29,female,18-25,0-50k,studia,TRUE,29,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,29,TRUE,TRUE,Pozyt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0zmian
30,30,30,male,18-25,wies,studia,TRUE,30,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,30,FALSE,TRUE,Neutr,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,IDK,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0zmian
31,31,31,female,18-25,500k+,studia,TRUE,31,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,31,TRUE,TRUE,Pozyt,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,RaczPozyt
32,32,32,male,18-25,100-500k,studia,TRUE,32,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,32,TRUE,TRUE,Negat,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,RaczPozyt
33,33,33,male,18-25,0-50k,studia,TRUE,33,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,33,TRUE,TRUE,Negat,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,IDK,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,RaczNegat
34,34,34,male,18-25,500k+,studia,TRUE,34,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,34,TRUE,TRUE,Neutr,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0zmian
35,35,35,male,18-25,0-50k,studia,TRUE,35,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,35,TRUE,TRUE,Pozyt,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,IDK,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0zmian
36,36,36,female,18-25,500k+,studia,TRUE,36,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,36,FALSE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0zmian
37,37,37,male,18-25,500k+,sred,TRUE,37,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,37,FALSE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,RaczNegat
38,38,38,female,18-25,500k+,studia,TRUE,38,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,38,FALSE,TRUE,Neutr,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,IDK,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,IDK,0zmian
39,39,39,male,18-25,500k+,sred,TRUE,39,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,39,TRUE,TRUE,Neutr,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,RaczNegat
40,40,40,male,18-25,wies,studia,FALSE,40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,FALSE,FALSE,Neutr,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,0zmian
41,41,41,male,26-35,500k+,wyz,TRUE,41,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,41,TRUE,TRUE,Pozyt,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,RaczPozyt
42,42,42,female,18-25,500k+,studia,TRUE,42,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,42,TRUE,TRUE,Pozyt,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,RaczNegat
43,43,43,female,18-25,100-500k,studia,TRUE,43,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,43,TRUE,TRUE,Neutr,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,IDK,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0zmian
44,44,44,male,18-25,0-50k,studia,TRUE,44,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,44,TRUE,TRUE,Neutr,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,IDK,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,IDK,RaczNegat
45,45,45,male,18-25,500k+,studia,TRUE,45,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,45,FALSE,TRUE,Pozyt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,RaczPozyt
46,46,46,female,18-25,0-50k,studia,TRUE,46,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,46,FALSE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,IDK,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,0zmian
47,47,47,female,<18,500k+,podst,TRUE,47,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,47,TRUE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,IDK,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,RaczPozyt
48,48,48,female,<18,500k+,podst,TRUE,48,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,48,TRUE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,IDK,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,RaczPozyt
49,49,49,male,18-25,100-500k,studia,TRUE,49,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,49,FALSE,TRUE,Pozyt,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,IDK,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,IDK,ZdecydNegat
50,50,50,male,18-25,0-50k,sred,TRUE,50,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,50,TRUE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0zmian
51,51,51,female,18-25,500k+,studia,TRUE,51,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,51,TRUE,TRUE,Neutr,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,RaczPozyt
52,52,52,female,18-25,500k+,wyz,TRUE,52,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,52,TRUE,FALSE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,IDK,RaczPozyt
53,53,53,female,18-25,100-500k,studia,TRUE,53,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,53,TRUE,FALSE,Negat,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,IDK,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,RaczNegat
54,54,54,male,18-25,500k+,studia,TRUE,54,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,54,TRUE,TRUE,Negat,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,RaczNegat
55,55,55,male,18-25,500k+,studia,TRUE,55,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,55,TRUE,TRUE,Pozyt,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,ZdecydPozyt
56,56,56,male,18-25,500k+,studia,TRUE,56,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,56,FALSE,TRUE,Pozyt,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,IDK,RaczNegat
57,57,57,male,18-25,100-500k,sred,TRUE,57,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,57,FALSE,FALSE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,IDK,RaczPozyt
58,58,58,male,18-25,500k+,sred,TRUE,58,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,58,TRUE,TRUE,Neutr,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0zmian
59,59,59,female,18-25,500k+,studia,TRUE,59,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,59,TRUE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,0zmian
60,60,60,male,18-25,50-100k,studia,TRUE,60,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,60,TRUE,TRUE,Neutr,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,IDK,RaczNegat
61,61,61,male,18-25,50-100k,studia,TRUE,61,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,61,TRUE,TRUE,Neutr,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,IDK,RaczNegat
62,62,62,female,18-25,500k+,studia,TRUE,62,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,62,FALSE,TRUE,Neutr,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,RaczPozyt
63,63,63,male,18-25,500k+,wyz,TRUE,63,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,63,FALSE,TRUE,Neutr,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,IDK,RaczNegat
64,64,64,female,18-25,100-500k,studia,TRUE,64,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,64,FALSE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,IDK,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,IDK,0zmian
65,65,65,male,18-25,500k+,sred,TRUE,65,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,65,TRUE,FALSE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,IDK,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,RaczNegat
66,66,66,female,18-25,500k+,studia,TRUE,66,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,66,FALSE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,IDK,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,IDK,0zmian
67,67,67,male,18-25,100-500k,studia,TRUE,67,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,67,TRUE,TRUE,Neutr,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,RaczPozyt
68,68,68,female,18-25,wies,studia,TRUE,68,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,68,TRUE,TRUE,Pozyt,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,RaczPozyt
69,69,69,female,18-25,500k+,sred,FALSE,69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,69,TRUE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,0zmian
70,70,70,female,18-25,wies,sred,TRUE,70,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,70,FALSE,TRUE,Pozyt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,RaczPozyt
71,71,71,female,<18,wies,podst,TRUE,71,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,71,TRUE,TRUE,Neutr,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,RaczNegat
72,72,72,male,18-25,500k+,sred,TRUE,72,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,72,TRUE,TRUE,Negat,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,RaczNegat
73,73,73,male,18-25,500k+,studia,TRUE,73,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,73,TRUE,TRUE,Negat,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,ZdecydNegat
74,74,74,male,18-25,500k+,studia,TRUE,74,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,74,TRUE,TRUE,Negat,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,ZdecydNegat
75,75,75,female,<18,100-500k,sred,TRUE,75,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,75,FALSE,TRUE,Pozyt,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,IDK,RaczNegat
